step,train_loss,eval_loss
1,10.1316,
2,10.6564,
3,9.6471,
4,9.779,
5,6.6887,
6,3.2766,
7,1.4811,
8,0.1405,
9,0.4403,
10,0.1827,
11,0.0462,
12,0.0163,
13,0.0041,
14,-0.0007,
15,0.0001,
16,0.0015,
17,0.3885,
18,1.1739,
19,0.0024,
20,0.196,
21,0.0128,
22,0.0282,
23,0.0378,
24,0.1343,
25,0.1242,
26,0.0329,
27,0.0278,
28,0.2583,
29,0.0207,
30,0.1409,
31,0.0278,
32,0.2264,
33,0.032,
34,0.4083,
35,0.2121,
36,0.0499,
37,0.1956,
38,0.0481,
39,0.0442,
40,0.0278,
41,0.0163,
42,0.177,
43,0.0034,
44,0.005,
45,0.0039,
46,-0.0011,
47,0.2089,
48,0.0023,
49,0.2049,
50,0.0006,
51,0.3835,
52,0.0094,
53,0.1532,
54,0.0325,
55,0.1242,
56,0.1328,
57,0.0474,
58,0.0428,
59,0.0335,
60,0.0288,
61,0.228,
62,0.0173,
63,0.0191,
64,0.0223,
65,0.0094,
66,0.0076,
67,0.0063,
68,0.0041,
69,0.22,
70,0.2198,
71,0.1709,
72,0.286,
73,0.0261,
74,0.0627,
75,0.0699,
76,0.0529,
77,0.1096,
78,0.0314,
79,0.2644,
80,0.1103,
81,0.1046,
82,0.0334,
83,0.0323,
84,0.0851,
85,0.0214,
86,0.1411,
87,0.0621,
88,0.022,
89,0.0153,
90,0.1302,
91,0.0127,
92,0.0496,
93,0.0072,
94,0.399,
95,0.0142,
96,0.1732,
97,0.0208,
98,0.0399,
99,0.0367,
100,0.0288,
100,,0.06561928242444992
101,0.0213,
102,0.1283,
103,0.0914,
104,0.2971,
105,0.0176,
106,0.0219,
107,0.0172,
108,0.0207,
109,0.0241,
110,0.245,
111,0.0188,
112,0.0156,
113,0.1271,
114,0.0916,
115,0.073,
116,0.0278,
117,0.0174,
118,0.0151,
119,0.0176,
120,0.011,
121,0.0093,
122,0.0111,
123,0.2011,
124,0.0915,
125,0.0441,
126,0.0713,
127,0.3217,
128,0.0346,
129,0.1631,
130,0.0373,
131,0.0378,
132,0.0637,
133,0.0434,
134,0.0267,
135,0.0457,
136,0.0079,
137,0.0089,
138,0.1816,
139,0.1497,
140,0.0092,
141,0.0058,
142,0.0132,
143,0.1132,
144,0.0457,
145,0.0303,
146,0.1753,
147,0.0269,
148,0.0449,
149,0.0643,
150,0.0391,
151,0.0721,
152,0.003,
153,0.0033,
154,0.2697,
155,0.0311,
156,0.0076,
157,0.0036,
158,0.005,
159,0.0045,
160,0.0024,
161,0.1569,
162,0.0085,
163,0.0245,
164,0.031,
165,0.0003,
166,0.0242,
167,0.0083,
168,0.0154,
169,0.0247,
170,0.2434,
171,0.07,
172,0.0079,
173,0.0039,
174,0.061,
175,0.044,
176,0.0167,
177,0.014,
178,0.0095,
179,0.0081,
180,0.0183,
181,0.0056,
182,0.0388,
183,0.0687,
184,0.0108,
185,0.1321,
186,0.0124,
187,0.082,
188,0.01,
189,0.0058,
190,0.0098,
191,0.3698,
192,0.0797,
193,0.0326,
194,0.0094,
195,0.029,
196,0.0446,
197,0.0446,
198,0.0941,
199,0.0569,
200,0.0049,
200,,0.05394388362765312
201,0.0043,
202,0.1451,
203,0.004,
204,0.0029,
205,0.0097,
206,0.0027,
207,0.0251,
208,0.0048,
209,0.0033,
210,0.0029,
211,0.0024,
212,0.0016,
213,0.0171,
214,0.0031,
215,0.0022,
216,0.0058,
217,0.0016,
218,0.0035,
219,0.0029,
220,0.0024,
221,0.0079,
222,-0.0015,
223,0.0013,
224,-0.0005,
225,0.0004,
226,0.0458,
227,0.0012,
228,0.0048,
229,0.0002,
230,0.0001,
231,0.0015,
232,-0.0015,
233,0.0016,
234,0.0209,
235,0.0107,
236,0.0001,
237,0.0037,
238,0.0018,
239,0.0013,
240,0.0003,
241,0.0021,
242,0.0113,
243,0.0002,
244,0.0001,
245,0.0027,
246,0.0861,
247,0.0018,
248,0.0005,
249,0.0034,
250,0.0027,
251,0.0155,
252,0.0746,
253,0.002,
254,0.0008,
255,0.002,
256,0.0019,
257,-0.0004,
258,0.0028,
259,0.0004,
260,0.0018,
261,0.0039,
262,0.0018,
263,0.0017,
264,0.0024,
265,0.0308,
266,0.0007,
267,-0.0005,
268,0.0011,
269,0.0004,
270,-0.0,
271,-0.0005,
272,0.0006,
273,0.0006,
274,-0.0008,
275,-0.0006,
276,0.0022,
277,0.0023,
278,0.0,
279,-0.0003,
280,0.0032,
281,0.0014,
282,0.0007,
283,0.0015,
284,0.0024,
285,0.0015,
286,0.003,
287,0.001,
288,0.0154,
289,-0.0009,
290,0.0007,
291,0.0025,
292,0.003,
293,0.002,
294,0.0023,
295,0.0019,
296,0.0023,
297,0.0001,
298,0.0004,
299,0.0032,
300,0.0012,
300,,0.07717926800251007
301,0.0035,
302,-0.0004,
303,0.0003,
304,-0.0005,
305,-0.0,
306,-0.0007,
307,0.0008,
308,0.0035,
309,-0.001,
310,0.0022,
311,0.0002,
312,-0.0012,
313,-0.0009,
314,-0.0005,
315,0.0007,
