step,train_loss,eval_loss
1,11.1804,
2,10.449,
3,10.3686,
4,8.8074,
5,6.3129,
6,4.0439,
7,1.3506,
8,0.4638,
9,0.0889,
10,0.1815,
11,0.1227,
12,0.1355,
13,0.0527,
14,0.0117,
15,0.0036,
16,0.0014,
17,0.002,
18,0.0001,
19,0.0018,
20,0.3971,
21,0.3477,
22,0.0008,
23,0.1953,
24,0.149,
25,0.1402,
26,0.0862,
27,0.1329,
28,0.024,
29,0.0172,
30,0.0165,
31,0.0096,
32,0.0098,
33,0.0085,
34,0.0061,
35,0.2059,
36,0.0042,
37,0.1924,
38,0.0087,
39,0.013,
40,0.0107,
41,0.0131,
42,0.0106,
43,0.0113,
44,0.009,
45,0.0088,
46,0.0056,
47,0.0039,
48,0.1971,
49,0.0028,
50,0.188,
51,0.3378,
52,0.2696,
53,0.1972,
54,0.1253,
55,0.1874,
56,0.1255,
57,0.0772,
58,0.0573,
59,0.1282,
60,0.0217,
61,0.0129,
62,0.1487,
63,0.0091,
64,0.1714,
65,0.0122,
66,0.0085,
67,0.0082,
68,0.0086,
69,0.0084,
70,0.1592,
71,0.18,
72,0.0129,
73,0.1108,
74,0.0159,
75,0.1102,
76,0.1044,
77,0.0312,
78,0.0901,
79,0.0873,
80,0.0431,
81,0.0434,
82,0.019,
83,0.0061,
84,0.0042,
85,0.0036,
86,0.0027,
87,0.2151,
88,0.003,
89,0.1667,
90,0.0006,
91,0.0016,
92,0.0024,
93,7.5848,
94,0.3257,
95,0.0068,
96,0.0056,
97,0.0438,
98,0.0369,
99,0.4491,
100,0.0211,
100,,0.04750627279281616
101,0.0319,
102,0.0525,
103,0.0392,
104,0.0112,
105,0.0673,
106,0.0904,
107,0.0078,
108,0.0234,
109,0.0084,
110,0.0057,
111,0.0031,
112,0.0019,
113,0.0011,
114,0.0697,
115,0.0021,
116,0.1597,
117,0.0751,
118,0.0032,
119,-0.0,
120,0.0251,
121,-0.0002,
122,-0.0003,
123,0.0126,
124,0.0076,
125,0.028,
126,0.0043,
127,0.0027,
128,0.0131,
129,0.0035,
130,0.0755,
131,0.0025,
132,0.0041,
133,0.0031,
134,0.0026,
135,0.0262,
136,0.0073,
137,0.0275,
138,0.0052,
139,0.0003,
140,0.0104,
141,0.0182,
142,0.0038,
143,0.003,
144,0.0056,
145,0.0043,
146,0.001,
147,-0.0007,
148,0.0036,
149,-0.0007,
150,0.0036,
151,0.0423,
152,0.0023,
153,0.0013,
154,0.0007,
155,0.0001,
156,0.0002,
157,0.0011,
158,0.0029,
159,0.0009,
160,0.0,
161,0.0039,
162,0.0002,
163,0.0023,
164,0.0221,
165,0.0013,
166,0.0028,
167,0.0006,
168,0.0002,
169,0.0015,
170,-0.0005,
171,0.0018,
172,0.0003,
173,0.0,
174,0.0012,
175,0.0001,
176,0.0008,
177,0.078,
178,0.002,
179,0.0012,
180,0.0546,
181,-0.0001,
182,0.0018,
183,0.0007,
184,0.0015,
185,0.0001,
186,0.0021,
187,0.0442,
188,0.0018,
189,0.0022,
190,0.0859,
191,0.0787,
192,0.0015,
193,0.0064,
194,-0.0002,
195,0.0004,
196,0.0016,
197,0.002,
198,0.0011,
199,-0.0011,
200,-0.0004,
200,,0.009117916226387024
201,0.0051,
202,-0.0007,
203,0.0044,
204,0.0013,
205,0.0012,
206,0.0024,
207,0.1188,
208,0.0,
209,0.0082,
210,0.0009,
211,-0.0014,
212,0.0003,
213,0.0,
214,0.0065,
215,0.0014,
216,0.0018,
217,0.0012,
218,0.0076,
219,0.0006,
220,0.0013,
221,0.0003,
222,0.0023,
223,0.0088,
224,0.0036,
225,-0.0015,
226,0.0001,
227,0.003,
228,-0.0011,
229,0.0005,
230,-0.0017,
231,-0.0002,
232,-0.0011,
233,0.0012,
234,0.0018,
235,0.1824,
236,0.0006,
237,0.002,
238,0.0004,
239,0.0108,
240,0.0032,
241,0.002,
242,0.0016,
243,0.0322,
244,0.0026,
245,0.0035,
246,0.0026,
247,0.0021,
248,0.0165,
249,0.0017,
250,-0.0003,
251,0.004,
252,0.0047,
253,0.0116,
254,-0.0014,
255,0.0075,
256,0.0013,
257,0.0027,
258,0.0031,
259,-0.0004,
260,0.0013,
261,0.0017,
262,0.0018,
263,-0.0003,
264,0.0014,
265,-0.0002,
266,0.0025,
267,-0.0004,
268,0.0025,
269,-0.0003,
270,-0.0028,
271,0.004,
272,0.0001,
273,-0.0,
274,0.0005,
275,-0.0005,
276,-0.0009,
277,-0.0007,
278,-0.0002,
279,0.0016,
280,0.0003,
281,-0.0004,
282,0.0026,
283,0.0021,
284,0.0011,
285,0.0006,
286,-0.0013,
287,0.0006,
288,-0.0006,
289,0.0042,
290,0.0012,
291,-0.001,
292,0.0026,
293,0.0008,
294,0.0023,
295,0.0004,
296,0.0009,
297,0.0017,
298,-0.0019,
299,0.0027,
300,0.0003,
300,,0.007386297453194857
301,0.001,
302,0.0021,
303,0.0145,
304,0.0014,
305,0.0002,
306,0.0007,
307,0.0022,
308,0.0015,
309,0.001,
310,-0.0004,
311,0.0015,
312,-0.0002,
313,0.0017,
314,0.0007,
315,0.0026,
