post_id,predicted_tense,verbatim_example,true_tense
3dy8wl,0,,0
3igqrf,1,What I'm wondering is how long after my last dose of bupe will it be before it is again effective for a rapid opiates detox?,1
3igsr7,1,I've done it once before. I went from daily half teenth IV dope to nothing after a week of using gradually reduced doses of bupe.,1
3nt5ew,1,"Eventually the crave comes back, then I'm chipping and before you know it habited again.",1
3nt86s,1,"Eventually the crave comes back, then I'm chipping and before you know it habited again.",1
518v54,1,My eventual goal is abstinence,0
5bd6hr,ERROR,ERROR,0
5euhxf,1,"I've scored a half teenth, shot up a couple of times",0
5fs1yf,1,"I am constantly addressing the problem, with meetings, applying for rehab again soon, always somehow manage to pull myself out of a relapse",0
5phzns,0,,0
5uo9xj,0,,0
5yylq2,1,"I have a few pills left and no access to more, so any help advice or experience is appreciated.",0
6h9s3x,0,,0
6qiqc7,1,"I'm hanging on because I'm going to rehab in a few months (or when ever a bed becomes available),",0
7tks4h,ERROR,ERROR,0
9k4o50,0,,0
ba5tou,1,"I have some methadone (about 100ml), some zopilcone and some diazepam (20mg in 2mg tablets.)",1
700v7d,1,"I have to start working again, but I'm not sure if I can wait till I'm off Kratom too. A part of me thinks getting on a routine would be good for me even if I have to eventually deal with Kratom W/Ds while working.",0
7063a7,1,"I would love to stop it all but I'm living alone and not working, not having a distraction or something to normalize my routine makes withdrawal 10x's worse.",0
70ke56,1,"This time I avoided any phone calls that I knew would get to me, but my dad knows something is up and just pray he doesn't drive up (I live an hour away).",0
71trdu,1,"I will quit benzos without tapering, but I will use as much Kratom as needed to get through jumping off DHC.",0
728w57,1,"Now after 3 weeks I am back in that place I was months ago. Sometimes I think a work routine, being around co-workers, etc will be good to establish before jumping off all the way.",0
3cqp6y,0,,0
3cqya9,0,,0
3e1b5s,0,,0
6zkt8s,0,,0
7004qt,ERROR,ERROR,0
73ps8l,0,,0
4uxokl,0,,0
4v188e,0,,0
516elz,0,,0
51asc3,0,,0
534g0g,ERROR,ERROR,0
55a8ps,0,,0
57jr8x,ERROR,ERROR,0
5ri9pf,0,,0
68a9dh,0,,0
6rltyf,0,,0
71cl8c,0,,0
71clao,0,,0
77f9yb,ERROR,ERROR,0
607niv,1,"In two days, I will be completely out of meds.",0
61qx2n,0,,0
62sbkv,1,Hopefully this gives someone hope.,0
63rnxs,0,,0
64xkmj,1,I am scared bc I know I will want to use.,0
65uequ,0,,0
6a5yn8,ERROR,ERROR,0
6ebujs,1,What about tomorrow tho.,0
6inwke,0,,0
9x54pd,0,,1
a3ri4d,1,I have been taking kratom since Tuesday to help withdrawal.,1
a43ojt,0,,0
55ajwt,0,,0
57ejx7,ERROR,ERROR,0
6icb2z,ERROR,ERROR,0
6icc1u,ERROR,ERROR,0
6knqqt,ERROR,ERROR,0
6xydw9,0,,0
725rhw,ERROR,ERROR,0
725rta,ERROR,ERROR,0
7lu1ed,ERROR,ERROR,0
7lu2i9,0,,0
5oht74,1,It's day 3 off of a 8 day relapse.,0
5ope6e,0,,0
5ow3t9,0,,0
5p45ip,1,I'll be working on a week but I feel like I need to.,0
5paxbr,1,Waking up to day 7.,0
5pieag,1,I'll take that over just bad.,0
5po74b,1,I'll be so stoked as the sleep/malaise start to loosen up.,0
5q2yd7,1,Day 11,0
5q5z00,1,"I'm still a lot of things that fuckin suck... BUT I'm noticing glimmers. Sometimes they come and go in an instant, sometimes they stick around a few minutes, sometimes I can stretch them for 1-2 hours.",0
5qam5y,1,Day 14 will sound much cooler on Sunday morning and I'll probably plan to type up some deeper shit then.,0
5qh7o9,1,Lookin forward to 2 weeks tomorrow,0
5qnoyr,1,Still dreading the length of days in the morning and how I'm going to keep my self occupied without being able to relax as easy.,0
5qul95,1,about to head to the gym in hopes of pumping some natural feel good into my body,0
5r0lya,0,,0
5r8afs,1,"Hoping the work day passes quickly,",0
5rf4hs,1,"it hit me like a fuckin sack of bricks... started pouring sweat, plotting and rationalizing all the ways I could get around this security blanket that I've created,",0
5rmcy7,1,I'm waiting for that one night where I just conk out for 8-9 hours so bad.,0
5rtnk6,1,Lingering symptoms are still morning GI/Restless when I try to relax/anxiety sweats.,0
5s0p8o,1,"Symptoms at 3 weeks out... broken sleep of 4-6 hours, morning shits (a very zen one this morning at least), anhedonia waves, come and go restless limbs.",0
5sdy7b,1,Felt like day 4 of withdrawals out of the blue.,0
5ssayz,1,"Only things lingering around at 25 days are morning GI, restless sleep, anxiety/anhedonia waves.",0
5szjvv,1,This was the day of the month I would get my script refilled and normally start the process of one GREAT week followed by the cycle of withdrawal etc etc.,0
5t6muw,0,,0
5tm4rq,0,,0
5uej8s,1,Almost feels like days 7-11 again.,0
2r79os,1,I may have lost the love of my life... this must be the last time.,0
2rb273,1,Ill be gone soon anyway with no connects so what can happen??,0
2rfvru,0,,0
5sjje4,ERROR,ERROR,0
66t8t7,1,Day 3.,0
6e1wbk,0,,0
6jilbu,0,,0
6jkz19,1,Coming on three days,0
6jprrk,0,,0
6jqqi2,1,I was so fucked up on dope and xanax and kpins that i blacked out the entire way.,0
6jtam9,0,,0
6k0l82,ERROR,ERROR,0
6k5gpv,0,,0
6kkxof,0,,0
6r2vt5,0,,0
6r4qyt,1,I keep thinking just one more...,0
7y61tu,ERROR,ERROR,0
y55tq,0,,0
ygg2m,0,,0
zzech,0,,0
189jzm,0,,0
1dcxyt,1,I'm about to enjoy a handful of hydrocodones and a nice line of Opana.,0
1ip2y2,0,,0
28ltk2,0,,0
2y148m,1,I haven't gone through any withdrawals in a very long time,0
379lfx,0,,0
3d7135,1,"Anytime I keep at least 40 pounds of poppyseeds incase the site I order from gets shut down, or something gets lost in the mail, by doing this, I haven't WD'd in close to 2 years",0
3gezxz,0,,0
3glfpd,0,,0
3nqeie,1,Now I can't wait until this Friday when I get paid. I'm going to get totally straight hamstered!,0
40inra,0,,0
49iuq9,1,"I've got like 30 minutes before I have to give a lecture about The Gulf of Mexico/pollution for an elementary school, so I thought I'd start up a post... Yet as much as we hate it, it's important to be prepared. withdrawal is a horrible horrible painful thing.",0
49ommq,0,,0
84utu0,ERROR,ERROR,0
7k1few,1,I'm praying that I don't [withdraw] this time around.,0
7tdpm3,ERROR,ERROR,0
7xiifr,ERROR,ERROR,0
8dfzx9,ERROR,ERROR,0
8ektq0,0,,0
8o0sp1,0,,0
930v7p,1,I'm stuck again. I'm humiliated and embarrassed and I just texted my sponsor to ask if she'd hold my script for me.,0
6io4hs,ERROR,ERROR,0
77vqr1,ERROR,ERROR,0
7dnif5,ERROR,ERROR,0
7sy08z,ERROR,ERROR,0
8ro6ec,ERROR,ERROR,0
3l5nw6,0,,0
3m8tmw,0,,0
3rva6k,0,,0
3rveij,ERROR,ERROR,0
422c1l,ERROR,ERROR,0
43l956,ERROR,ERROR,0
481d1a,ERROR,ERROR,0
49vwv2,ERROR,ERROR,0
4bquxv,ERROR,ERROR,0
7pej2i,1,I've been at sober living for 3 weeks still clean and happier than I've ever been.,0
7xpgw5,ERROR,ERROR,0
8s2nwu,ERROR,ERROR,0
a041t0,ERROR,ERROR,0
aahjui,0,,0
5vveqc,ERROR,ERROR,0
71ng3x,0,,0
72vmr4,0,,0
73yc0j,0,,0
74t8q6,ERROR,ERROR,0
7brnf4,0,,0
7t9p86,ERROR,ERROR,0
7tklhm,ERROR,ERROR,0
7uke35,0,,0
819ivi,0,,0
81qb6u,0,,0
851jqd,0,,0
88dktr,0,,0
8a44dc,0,,0
8a8cwd,0,,0
8cdcoj,1,mainlining a fat shot of heroin at 1:46AM,0
8e12qh,0,,0
8ju7q8,0,,0
8lkudz,0,,0
8o62i0,ERROR,ERROR,0
8pfne2,0,,0
8pm7yp,0,,0
8wmy45,0,,0
58dd82,1,But a month has passed and curiosity is back. My friend has one last bag and he's willing to split half with me for one last night before he quits (so he says).,0
5qxv7q,0,,0
5r9qbq,1,God damn and this morning I went and smoked a cigarette and I was delighted to know that feeling came back AGAIN.,0
5t56zt,0,,0
5zg351,1,Looking to shoot up for the first time this week,0
67whz4,0,,0
6rly0p,0,,0
