post_id,predicted_tense,verbatim_example,true_tense
3dy8wl,1,I've been an opiate *enthusiast* for going on ten years.,0
3igqrf,1,I've been messing around with heroin and bupe since about April - my most recent relapse.,0
3igsr7,1,I've been messing around with heroin and bupe since about April - my most recent relapse.,0
3nt5ew,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",1
3nt86s,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",1
518v54,1,My eventual goal is abstinence and I know I'm just reinforcing my fixation / ritualistic behaviour.,0
5bd6hr,0,,0
5euhxf,1,"I'm in Scotland, just scored a half teenth, shot up a couple of times",0
5fs1yf,1,"I am constantly addressing the problem, with meetings, applying for rehab again soon, always somehow manage to pull myself out of a relapse",0
5phzns,1,"Having been at *least* a week since last taking a problem free dump,",0
5uo9xj,0,,0
5yylq2,0,,0
6h9s3x,0,,0
6qiqc7,1,I've been before and doubt myself so much.,0
7tks4h,0,None,0
9k4o50,1,In less than 3 weeks I'll be a year clean.,0
ba5tou,1,So I’ve just used for 3 weeks (IV) after a good bit of clean time.,0
700v7d,1,I quit everything about a year and a half ago with the help of a detox place.,0
7063a7,1,I quit opiates/benzos/adderall 12 days ago... I have been thinking about quitting for months but when I wasn't using I could barely get out of the house or accomplish anything besides laying around.,0
70ke56,1,I had no idea it would be so intense after 2 weeks.,0
71trdu,1,"The last time I took DHC or Xanax was the Sunday of Labor Day. ... At the end of week 2 I probably could have picked myself up and been somewhat productive, however you really start to crave sobriety",0
728w57,1,About 14 months ago I got out of in-patient rehab.,0
3cqp6y,0,,0
3cqya9,0,,0
3e1b5s,0,,0
6zkt8s,0,,0
7004qt,0,None,0
73ps8l,0,None,0
4uxokl,0,,0
4v188e,0,,0
516elz,0,,0
51asc3,0,,0
534g0g,0,,0
55a8ps,0,,0
57jr8x,0,None,0
5ri9pf,0,,0
68a9dh,0,,0
6rltyf,0,,0
71cl8c,0,,0
71clao,0,,0
77f9yb,0,None,0
607niv,1,I have tried to get into detox. There is a wait list a mile long. I am not going to look for this shit on the street. What can I do to make it thru detox without killing myself (or really wanting to).,0
61qx2n,0,,0
62sbkv,1,"I still haven't had the withdrawals I was expecting, no shitting water, no puking, no seizures (from benzo wd), no sweats.",0
63rnxs,1,"Now that I am clean, I can barely get out of bed bc back and knees are so bad.",0
64xkmj,1,I am scared bc I know I am new in my recovery.,0
65uequ,1,"So, ya obvs 26 days clean.",0
6a5yn8,0,None,0
6ebujs,0,None,0
6inwke,0,None,0
9x54pd,0,,0
a3ri4d,1,I have been taking kratom since Tuesday to help withdrawal.,0
a43ojt,0,,0
55ajwt,0,,0
57ejx7,0,,0
6icb2z,0,None,0
6icc1u,0,None,0
6knqqt,0,None,0
6xydw9,0,None,0
725rhw,0,None,0
725rta,0,None,0
7lu1ed,0,None,0
7lu2i9,1,I’m officially one year clean from opiates.,0
5oht74,1,It's day 3 off of an 8 day relapse... had some good clean time before lapsing the last 8 days prior to Saturday.,0
5ope6e,0,,0
5ow3t9,0,,0
5p45ip,1,"Physically, most of everything has passed.",0
5paxbr,0,,0
5pieag,1,"One week down, working on day 8.",0
5po74b,1,"Eight days down, moving into day 9.",0
5q2yd7,0,,0
5q5z00,1,"I'm still a lot of things that fuckin suck... BUT I'm noticing glimmers. Sometimes they come and go in an instant, sometimes they stick around a few minutes, sometimes I can stretch them for 1-2 hours. Piece by piece, glimmer by glimmer, I'm working to rebuild.",0
