post_id,predicted_tense,verbatim_example,true_tense
3dy8wl,1,"A slightly alien yet heavy rush, which at first seems to suggest I am in for a lengthy and perhaps dangerous nod,",0
3igqrf,1,I've been messing around with heroin and bupe since about April - my most recent relapse.,1
3igsr7,1,I've been messing around with heroin and bupe since about April - my most recent relapse.,1
3nt5ew,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",1
3nt86s,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",1
518v54,1,I FINALLY managed to stop using H and got on Subs.,0
5bd6hr,0,,0
5euhxf,1,"I'm in Scotland, just scored a half teenth, shot up a couple of times",0
5fs1yf,1,"I am constantly addressing the problem, with meetings, applying for rehab again soon, always somehow manage to pull myself out of a relapse",0
5phzns,1,"Having been at *least* a week since last taking a problem free dump,",0
5uo9xj,0,,0
5yylq2,0,,0
6h9s3x,0,,0
6qiqc7,1,I've been before and doubt myself so much.,0
7tks4h,0,,0
9k4o50,1,In less than 3 weeks I'll be a year clean.,0
ba5tou,1,I've just used for 3 weeks (IV) after a good bit of clean time.,0
700v7d,0,,0
7063a7,0,,0
70ke56,0,None,0
71trdu,1,I thought the benzo withdrawals kicked in that first week but now that I look back I think it was primarily opiate withdrawals.,0
728w57,1,I was on a large benzo/opiate habit and got off both 3 weeks to the day. The withdrawal was really intense...,0
3cqp6y,0,,0
3cqya9,0,,0
3e1b5s,0,,0
6zkt8s,1,I think about the drugs I haven't tried. I think about that sweet taste when you shoot coke.,0
7004qt,1,But this is the first time in my life I feel like I'm making real connections with people. Like I'm actually invested in these people's lives.,0
73ps8l,1,I've only got 5 months but I'm telling you. I'm so excited to wake up each day doing something I love. Helping other addicts who are suffering.,0
4uxokl,0,,0
4v188e,0,,0
516elz,0,,0
51asc3,0,,0
534g0g,0,,0
55a8ps,0,,0
57jr8x,0,,0
5ri9pf,0,,0
68a9dh,0,,0
6rltyf,0,,0
71cl8c,0,,0
71clao,0,,0
77f9yb,0,,0
607niv,1,I am in the thick of wd.,0
61qx2n,0,None,0
62sbkv,0,None,0
63rnxs,0,None,0
64xkmj,0,None,0
65uequ,0,None,0
6a5yn8,1,"I am happy to be here, sober . I am starting to really mourn for ten years I lost to oxycontin and Xanax.",0
6ebujs,1,"I've never used a needle. Why? Seriously. I just want a ""normal"" friend.",0
6inwke,1,"By the grace of God, I didn't use.",0
9x54pd,0,,0
a3ri4d,0,,0
a43ojt,0,None,0
55ajwt,0,,0
57ejx7,0,,0
6icb2z,0,,0
6icc1u,1,Six months and some change ago I couldn't even go 60 minutes without having to use something to change the way I feel.,0
6knqqt,0,,0
6xydw9,1,I used to run one in r/opiates,0
725rhw,1,"I was in a hospital bed, could barely walk and breathe, was doing the “undercover ninja” every night to try and get comfortable to sleep, and had no direction or positive things in my life.",0
725rta,0,,0
7lu1ed,1,a year ago I was in a hospital bed with a Staff Infection and Pneumonia; I was making plans to go pick up the second I got out...,0
7lu2i9,1,I’m officially one year clean from opiates.,0
5oht74,0,,0
5ope6e,0,,0
5ow3t9,0,None,0
5p45ip,0,None,0
5paxbr,0,None,0
5pieag,0,None,0
5po74b,0,None,0
5q2yd7,0,None,0
5q5z00,0,,0
5qam5y,0,None,0
5qh7o9,0,None,0
5qnoyr,0,None,0
5qul95,0,None,0
5r0lya,0,None,0
5r8afs,0,None,0
5rf4hs,0,,0
5rmcy7,0,None,0
5rtnk6,0,None,0
5s0p8o,0,None,0
5sdy7b,1,Felt like day 4 of withdrawals out of the blue.,0
5ssayz,0,None,0
5szjvv,0,None,0
5t6muw,0,None,0
5tm4rq,0,None,0
5uej8s,0,,0
2r79os,0,None,0
2rb273,0,None,0
2rfvru,0,,0
5sjje4,0,,0
66t8t7,0,None,0
6e1wbk,1,I woke up hours later on the balcony covered in puke.,0
6jilbu,0,None,0
6jkz19,0,None,0
6jprrk,0,None,0
6jqqi2,0,None,0
6jtam9,0,None,0
6k0l82,0,None,0
6k5gpv,0,None,0
6kkxof,0,None,0
6r2vt5,0,None,0
6r4qyt,0,None,0
7y61tu,1,It's been a month and a half.,0
y55tq,0,,0
ygg2m,0,,0
zzech,0,,0
189jzm,0,,0
1dcxyt,1,I'm about to enjoy a handful of hydrocodones and a nice line of Opana.,0
1ip2y2,1,"I take opiates everyday now, normally oxycodone with hydrocodone",0
28ltk2,1,"I've been relatively clean for the past year because of my job, still dabblin' sometimes, but not putting 80mg of oxy up my nose everyday like I used to.",0
2y148m,1,I haven't gone through any withdrawals in a very long time (been abusing opiates for about 5 years now),0
379lfx,0,,0
3d7135,1,"Anyways, at anytime I keep at least 40 pounds of poppyseeds incase the site I order from gets shut down, or something gets lost in the male, by doing this, I haven't WD'd in close to 2 years,",0
3gezxz,0,,0
3glfpd,0,,0
3nqeie,1,I'm going to get totally straight hamstered!,0
40inra,1,"But, these last two weeks, I'm having fun with Gia and after only 10-15 minutes of sex I just go soft. ... This has never happened for either of us.",0
49iuq9,1,"I've seen people post their WD kits before. So what's in yours? I'll go first: ... My WD kit is an old Jurassic Park lunch box. Contained within are some thing to either get rid of, or help ease WD symptoms.",0
49ommq,1,"I swear, that game is my first real experience with addiction.",0
84utu0,0,,0
7k1few,0,,0
