post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,1,0,I've been an opiate *enthusiast* for going on ten years.,False
3igqrf,1,0,I've been messing around with heroin and bupe since about April - my most recent relapse.,True
3igsr7,1,0,I've been messing around with heroin and bupe since about April - my most recent relapse.,True
3nt5ew,1,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
3nt86s,1,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
518v54,1,0,My eventual goal is abstinence and I know I'm just reinforcing my fixation / ritualistic behaviour.,True
5bd6hr,0,0,,True
5euhxf,1,0,"I'm in Scotland, just scored a half teenth, shot up a couple of times",True
5fs1yf,1,0,"I am constantly addressing the problem, with meetings, applying for rehab again soon, always somehow manage to pull myself out of a relapse",True
5phzns,1,0,"Having been at *least* a week since last taking a problem free dump,",True
5uo9xj,0,0,,True
5yylq2,0,0,,True
6h9s3x,0,0,,True
6qiqc7,1,0,I've been before and doubt myself so much.,True
7tks4h,0,0,None,False
9k4o50,1,0,In less than 3 weeks I'll be a year clean.,True
ba5tou,1,0,So I’ve just used for 3 weeks (IV) after a good bit of clean time.,True
700v7d,1,0,I quit everything about a year and a half ago with the help of a detox place.,True
7063a7,1,0,I quit opiates/benzos/adderall 12 days ago... I have been thinking about quitting for months but when I wasn't using I could barely get out of the house or accomplish anything besides laying around.,False
70ke56,1,0,I had no idea it would be so intense after 2 weeks.,True
71trdu,1,0,"The last time I took DHC or Xanax was the Sunday of Labor Day. ... At the end of week 2 I probably could have picked myself up and been somewhat productive, however you really start to crave sobriety",False
728w57,1,0,About 14 months ago I got out of in-patient rehab.,True
3cqp6y,0,0,,True
3cqya9,0,0,,True
3e1b5s,0,0,,True
6zkt8s,0,0,,True
7004qt,0,0,None,False
73ps8l,0,0,None,False
4uxokl,0,0,,True
4v188e,0,0,,True
516elz,0,0,,True
51asc3,0,0,,True
534g0g,0,0,,True
55a8ps,0,0,,True
57jr8x,0,0,None,False
5ri9pf,0,0,,True
68a9dh,0,0,,True
6rltyf,0,0,,True
71cl8c,0,0,,True
71clao,0,0,,True
77f9yb,0,0,None,False
607niv,1,0,I have tried to get into detox. There is a wait list a mile long. I am not going to look for this shit on the street. What can I do to make it thru detox without killing myself (or really wanting to).,True
