post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,0,0,None,True
3igqrf,0,1,None,True
3igsr7,0,1,None,True
3nt5ew,0,1,None,True
3nt86s,0,1,None,True
518v54,0,0,None,True
5bd6hr,0,0,None,True
5euhxf,0,0,None,True
5fs1yf,0,0,None,True
5phzns,0,0,None,True
5uo9xj,0,0,None,True
5yylq2,0,0,None,True
6h9s3x,0,0,None,True
6qiqc7,0,0,None,True
7tks4h,0,0,None,True
9k4o50,1,0,this time it's finally taken hold,True
ba5tou,0,0,None,True
700v7d,0,0,None,True
7063a7,0,0,None,True
70ke56,0,0,None,True
71trdu,0,0,None,True
728w57,0,0,None,True
3cqp6y,0,0,None,True
3cqya9,0,0,None,True
3e1b5s,0,0,None,True
6zkt8s,0,0,None,True
7004qt,1,0,I've been 4 months sober,True
73ps8l,1,0,I've only got 5 months,True
4uxokl,0,0,None,True
4v188e,0,0,None,True
516elz,0,0,None,True
51asc3,0,0,None,True
534g0g,0,0,None,True
55a8ps,0,0,None,True
57jr8x,0,0,None,True
5ri9pf,0,0,None,True
68a9dh,0,0,None,True
6rltyf,0,0,None,True
71cl8c,0,0,None,True
71clao,0,0,None,True
77f9yb,0,0,None,True
607niv,0,0,None,True
61qx2n,1,0,Almost five days clean,True
62sbkv,1,0,I still haven't had the withdrawals I was expecting,True
63rnxs,0,0,None,True
64xkmj,0,0,None,True
65uequ,1,0,26 days clean,True
6a5yn8,1,0,I start my new job in a couple of hours and haven't been to bed yet. It's going to be so weird working SOBER.,True
6ebujs,0,0,None,True
6inwke,1,0,I celebrated by not using,True
9x54pd,0,0,None,True
a3ri4d,0,0,None,True
a43ojt,0,0,None,True
55ajwt,0,0,None,True
57ejx7,0,0,None,True
6icb2z,0,0,None,True
6icc1u,1,0,Six months and some change ago I couldn't even go 60 minutes without having to use something to change the way I feel.,True
6knqqt,0,0,None,True
6xydw9,0,0,None,True
725rhw,1,0,I’ve gotten two jobs (one of which was my dream job of teaching).,True
725rta,0,0,None,True
7lu1ed,1,0,a year ago I was in a hospital bed with a Staff Infection and Pneumonia,True
7lu2i9,1,0,I’m officially one year clean from opiates.,True
5oht74,1,0,day 3 off of a 8 day relapse,True
5ope6e,0,0,None,True
5ow3t9,0,0,None,True
5p45ip,0,0,None,True
5paxbr,0,0,None,True
5pieag,0,0,None,True
5po74b,1,0,Eight days down,True
5q2yd7,0,0,None,True
5q5z00,0,0,None,True
5qam5y,0,0,None,True
5qh7o9,0,0,None,True
5qnoyr,0,0,None,True
5qul95,0,0,None,True
5r0lya,0,0,None,True
5r8afs,0,0,None,True
5rf4hs,0,0,None,True
5rmcy7,0,0,None,True
5rtnk6,1,0,Day 20,True
5s0p8o,0,0,None,True
5sdy7b,0,0,None,True
5ssayz,0,0,None,True
5szjvv,0,0,None,True
5t6muw,0,0,None,True
5tm4rq,0,0,None,True
5uej8s,0,0,None,True
2r79os,0,0,None,True
2rb273,0,0,None,True
2rfvru,0,0,None,True
5sjje4,0,0,None,True
66t8t7,0,0,None,True
6e1wbk,0,0,None,True
6jilbu,0,0,None,True
6jkz19,0,0,None,True
6jprrk,1,0,haven't thought that in a long time,False
6jqqi2,1,0,I was so fucked up on dope and xanax and kpins that i blacked out the entire way.,True
6jtam9,0,0,None,True
6k0l82,0,0,None,True
6k5gpv,1,0,This is the longest I've been sober in a year at least,True
6kkxof,0,0,None,True
6r2vt5,0,0,None,True
6r4qyt,0,0,None,True
7y61tu,1,0,Clean since December 31!,True
y55tq,0,0,None,True
ygg2m,0,0,None,True
zzech,0,0,None,True
189jzm,0,0,None,True
1dcxyt,0,0,None,True
1ip2y2,0,0,None,True
28ltk2,0,0,None,True
2y148m,1,0,I haven't withdrawaled in over a year!,True
379lfx,0,0,None,True
3d7135,0,0,None,True
3gezxz,0,0,None,True
3glfpd,0,0,None,True
3nqeie,1,0,I'm straight hamstered right now.,True
40inra,0,0,None,True
49iuq9,0,0,None,True
49ommq,0,0,None,True
84utu0,0,0,None,True
