post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,1,0,an opiate *enthusiast* for going on ten years,True
3igqrf,0,0,trying to stop,True
3igsr7,0,0,trying to stop,True
3nt5ew,0,0,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
3nt86s,0,0,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
518v54,1,1,"I started shooting them (save time, taste, better fx, fixation etc.) and now I'm struggling to stop it",False
5bd6hr,1,0,Saturday night rock,True
5euhxf,1,0,Sacrificed it to a fairly lame relapse,True
5fs1yf,0,0,"I am constantly addressing the problem, with meetings, applying for rehab again soon, always somehow manage to pull myself out of a relapse",True
5phzns,1,0,as I was cooking up my hit I could tell that now was the moment to assume the porcelain throne and let nature take its course.,True
5uo9xj,0,0,is it safe to then take my full dose,True
5yylq2,0,0,I'm just happy to not be taking heroin anymore,True
6h9s3x,1,0,Just switched from IV 4 harm redux,True
6qiqc7,0,0,I'm hanging on because I'm going to rehab in a few months (or when ever a bed becomes available),False
7tks4h,0,0,Remember the days when you prayed for what you have now,True
9k4o50,0,0,In less than 3 weeks I'll be a year clean,True
ba5tou,0,0,Had a lapse after a 1.5 years clean. Looking for advice.,True
700v7d,0,0,"I stopped all benzo/adderall use and tapered down to Kratom. I thought by today I would feel relief knowing I was only on Kratom, but I am still not clean while on Kratom and have been through 2 weeks of hell already.",True
7063a7,0,0,"I quit opiates/benzos/adderall 12 days ago, now I am trying to stabilize on Kratom. I would love to stop it all",True
70ke56,0,0,trying to stabilize on Kratom,True
71trdu,0,0,"I will quit benzos without tapering, but I will use as much Kratom as needed to get through jumping off DHC",True
728w57,0,0,"I really hoped I would feel some type of restored confidence to then jump off the Kratom, but I don't know if I am so bruised mentally that the thought of going through more scares the crap out of me and just amplify my current after shock withdrawal symptoms like sleep.",True
3cqp6y,1,0,curious to try his first shot,True
3cqya9,1,0,Now I love my ECP and I love my ambien. But I've never though to try both at the same time.,True
3e1b5s,1,0,junkie,True
6zkt8s,0,0,But I'm 4 months sober and know my life is going in the positive direction,True
7004qt,0,0,I've been 4 months sober. I'm doing better now with my cravings.,True
73ps8l,0,0,"I've only got 5 months but I'm telling you. I'm so excited to wake up each day doing something I love. Helping other addicts who are suffering. Sobriety comes with real emotion, drive, initiative, charisma, some pain from the wreckage of our past, true insight, real friends who care about you and who you actually care about.",True
4uxokl,1,0,Best $60 I've ever spent,True
4v188e,1,0,"I'd usually take 2 and snort a half of one for a fast, hard come up and a pretty long high",True
516elz,0,0,None,True
51asc3,1,0,My usual for oxy is snorting 15 mg in 2 lines and then breaking up my other 2 15 mg's in a piece of paper towel and eating that.,True
534g0g,0,0,I love weekends,True
55a8ps,1,0,I got my hands on some 300/30 APAP codeines and was wondering how many I would have to CWE to get a buzz going,True
57jr8x,0,0,None,True
5ri9pf,1,0,I love the rush and buzz from railing a roxy and popping 2 more,True
68a9dh,0,0,haven't had any opis in months,True
6rltyf,1,0,when I'm high,True
71cl8c,0,0,,ERROR
71clao,1,0,Steal of the week: 22 15mg oxy's for $80,True
77f9yb,0,0,,ERROR
607niv,0,0,I am not going to look for this shit on the street. What can I do to make it thru detox without killing myself,True
61qx2n,0,0,Almost five days clean,True
62sbkv,0,0,I told her to make sure she put on the form that I do not want narcotics,True
63rnxs,0,0,Now that I am clean,True
64xkmj,0,0,I am scared bc I know I will want to use,True
65uequ,0,0,"So, ya obvs 26 days clean",True
6a5yn8,0,0,"I am happy to be here, sober",True
6ebujs,0,0,I have 70 something days clean,True
6inwke,0,0,"Not this year. I celebrated by not using. It was hard, so hard to actually deal with all that pain, and all of those emotions, but I made it. By the grace of God, I didn't use.",True
9x54pd,0,0,I know I have everything I need to detox at home,True
a3ri4d,0,0,I am going to see an addiction specialist today to try to get on Suboxone. I have been taking kratom since Tuesday to help withdrawal.,True
a43ojt,0,0,Went to the sub Dr for the first time yesterday. Was completely transparent. Precribed 2 8mg subs a day.,True
55ajwt,1,0,7 grams of some of the dopest dope I've ever shoved in a syringe,True
57ejx7,0,0,None,True
6icb2z,0,0,Six months ago I couldn't even go 60 minutes without having to use something,True
6icc1u,0,0,Six months and some change ago I couldn't even go 60 minutes without having to use something to change the way I feel.  This is the only period of sobriety I've had in 10 years.,True
6knqqt,0,0,get me through those hard times,True
6xydw9,0,0,used to run one in r/opiates,True
725rhw,0,0,"I’ve gotten two jobs, I’ve moved out of my parents house into my own place, I have a girlfriend and am in an actual healthy relationship for the first time in my life, I lost 60 lbs of body fat, stopped all blood pressure meds, My relationship with my family is the best it’s ever been, I actually pay bills now and manage money, But I’m able to deal and cope with it without loading up a shot of heroin to just push those feelings away for a few hours",False
725rta,0,0,Nine Months,True
7lu1ed,0,0,What a difference a year can make,True
7lu2i9,0,0,I’m officially one year clean from opiates,True
5oht74,0,0,It's day 3 off of a 8 day relapse,True
5ope6e,0,0,"Dropping the Lope to 6mg today, plan on working out after work, dropping the Benzo to .25mg today and .75mg tonight before bed",False
5ow3t9,0,0,Dropping the Lope to 4mg,True
5p45ip,0,0,"Physically, most of everything has passed. I'm just in one of those dull moments where I'm struggling to find some joy and feelings outside of sadness.",True
5paxbr,0,0,Waking up to day 7,False
5pieag,0,0,"One week down, working on day 8",True
5po74b,0,0,"Eight days down, moving into day 9",True
5q2yd7,0,0,Day 11,True
5q5z00,0,0,I still cry like a baby sometimes but less frequently. I still blow up the bathroom in the morning but it doesn't persist all day. I still can't sleep well but I'm grabbing more random spurts of it.,True
5qam5y,0,0,"This shit isn't easy... but that shouldn't be the reason you don't stop using. It's not supposed to be easy, you're trying to rescue your hijacked brain and body from something that's held it hostage for however long.",True
5qh7o9,0,0,Day 13,True
5qnoyr,0,0,Still having gnarly morning GI that tapers off. Still can't totally relax without some restless feet. Lingering anhedonia that comes in waves.,True
5qul95,0,0,Day 15,True
