post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,1,0,an opiate *enthusiast* for going on ten years,True
3igqrf,1,0,"I've been messing around with heroin and bupe since about April - my most recent relapse. IV dope user for ~8 years. I became hooked mainly to the bupe this time, with occasional dope hits. It's been just over a week without bupe.",True
3igsr7,1,0,"I've been messing around with heroin and bupe since about April - my most recent relapse. IV dope user for ~8 years. I became hooked mainly to the bupe this time, with occasional dope hits. It's been just over a week without bupe.",True
3nt5ew,1,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
3nt86s,1,1,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
518v54,1,0,I FINALLY managed to stop using H and got on Subs. A few days in I started shooting them,True
5bd6hr,0,0,Saturday night rock,True
5euhxf,1,0,Sacrificed it to a fairly lame relapse,True
5fs1yf,1,1,"I spend maybe half the year in my addiction and half of it on subbies, or abstinent or whatever. It's an ongoing problem I'm working on.",True
5phzns,1,0,"having been at *least* a week since last taking a problem free dump, when I got home with a score bag this afternoon, as I was cooking up my hit",True
5uo9xj,1,0,"If I've taken 4mg subutex with no PWD reaction, is it safe to then take my full dose?",True
5yylq2,1,0,"I'm just happy to not be taking heroin anymore, but fear a benzo rattle could push me",True
6h9s3x,1,0,Just switched from IV 4 harm redux. After 15 years,True
6qiqc7,1,0,I spend half my time asleep and the other half of the time resisting getting high or getting high,True
7tks4h,0,0,Remember the days when you prayed for what you have now,True
9k4o50,0,0,In less than 3 weeks I'll be a year clean,True
ba5tou,1,0,So I’ve just used for 3 weeks (IV) after a good bit of clean time,True
700v7d,1,0,"I tapered down to Kratom. I thought by today I would feel relief knowing I was only on Kratom, but I am still not clean while on Kratom and have been through 2 weeks of hell already.",False
7063a7,1,0,"I quit opiates/benzos/adderall 12 days ago, now I am trying to stabilize on Kratom... For the past 4-6 weeks I was trying to go about 4-5 days before using again, but wasn't really lowering my doseages",False
70ke56,1,0,"I have dealing with this game for 2 months, I will not use for 3-4 days but would constantly relapse",True
71trdu,1,0,I will use as much Kratom as needed to get through jumping off DHC,True
728w57,1,0,I was on a large benzo/opiate habit and got off both 3 weeks to the day. The withdrawal was really intense,True
3cqp6y,1,0,curious to try his first shot,True
3cqya9,1,0,Now I love my ECP and I love my ambien,True
3e1b5s,1,0,junkie,True
6zkt8s,1,0,But I'm 4 months sober and know my life is going in the positive direction. But it's so fucking hard to stay sober when I still feel so empty and just bored everyday.,True
7004qt,0,0,I've been 4 months sober,True
73ps8l,0,0,I've only got 5 months but I'm telling you. I'm so excited to wake up each day doing something I love. Helping other addicts who are suffering.,True
4uxokl,0,0,Best $60 I've ever spent,True
4v188e,1,0,"I'd usually take 2 and snort a half of one for a fast, hard come up and a pretty long high",True
516elz,0,0,$30 well spent,True
51asc3,1,0,I took a t break from both and now my regular combo feels spectacular,True
534g0g,0,0,I love weekends,True
55a8ps,1,0,I got my hands on some 300/30 APAP codeines and was wondering how many I would have to CWE to get a buzz going,True
57jr8x,0,0,My weekend just got a little better,True
5ri9pf,1,0,but I don't like nodding. It's my least favorite part,True
68a9dh,1,1,haven't had any opis in months,True
6rltyf,1,0,when I'm high,True
71cl8c,0,0,Beauties,True
71clao,1,0,22 15mg oxy's,True
77f9yb,0,0,"Found on r/trashy, thought this would be a better home",True
607niv,1,0,"In two days, I will be completely out of meds. I have tried to get into detox. There is a wait list a mile long. I am not going to look for this shit on the street. What can I do to make it thru detox without killing myself",True
61qx2n,1,0,Almost five days clean,True
62sbkv,0,0,I feel alive for the first time in 10 yrs. I've been hitting meetings. I told her to make sure she put on the form that I do not want narcotics.,False
63rnxs,1,0,"Now that I am clean, I can barely get out of bed bc back and knees are so bad",True
64xkmj,1,0,I am scared bc I will want to use,False
65uequ,0,0,26 days clean,True
6a5yn8,0,0,"I am happy to be here, sober",True
6ebujs,1,0,"This is just so tempting. Just for today, I will not relapse. What about tomorrow tho",True
6inwke,1,0,"Not this year. I celebrated by not using. It was hard, so hard to actually deal with all that pain, and all of those emotions, but I made it. By the grace of God, I didn't use.",True
9x54pd,1,0,I know I have everything I need to detox at home,True
a3ri4d,1,0,I have been taking kratom since Tuesday to help withdrawal,True
a43ojt,1,0,"Was completely transparent. Precribed 2 8mg subs a day. Took the first one last night, and got so, so high. But not like opiates high (except for the puking)",True
55ajwt,1,0,7 grams of some of the dopest dope I've ever shoved in a syringe,True
57ejx7,0,0,"Another 7g meteorite, that is not only from outer space, but it will blast you off all the way to Tatooine.",True
6icb2z,1,0,Six months ago I couldn't even go 60 minutes without having to use something,True
6icc1u,0,0,Six months and some change ago I couldn't even go 60 minutes without having to use something to change the way I feel. This is the only period of sobriety I've had in 10 years.,False
6knqqt,0,0,get me through those hard times,True
6xydw9,0,0,used to run one in r/opiates,True
725rhw,0,0,"I’ve gotten two jobs, I’ve moved out of my parents house into my own place, I have a girlfriend and am in an actual healthy relationship for the first time in my life, I lost 60 lbs of body fat, stopped all blood pressure meds, max bench: 375 squat:395 dead: 455 overhead:225, I love myself and actually have some sort of self esteem, My relationship with my family is the best it’s ever been, I actually pay bills now and manage money",False
725rta,0,0,Nine Months,True
7lu1ed,0,0,What a difference a year can make,True
7lu2i9,0,0,I’m officially one year clean from opiates,True
5oht74,1,0,It's day 3 off of a 8 day relapse,True
5ope6e,1,0,"Dropping the Lope to 6mg today, plan on working out after work, dropping the Benzo to .25mg today and .75mg tonight before bed",False
5ow3t9,1,0,Dropping the Lope to 4mg,True
5p45ip,1,0,"Physically, most of everything has passed. I'm just in one of those dull moments where I'm struggling to find some joy and feelings outside of sadness.",True
5paxbr,1,0,Waking up to day 7. Sleep was total shit and so is this morning. Right now feels so discouraging.,False
5pieag,1,0,"One week down, working on day 8. So far I haven't been a huge crybaby like yesterday. Instead it's just a emotional void, no good or bad. I'll take that over just bad.",True
5po74b,1,0,"Eight days down, moving into day 9",True
5q2yd7,1,0,Day 11,True
5q5z00,1,0,I still cry like a baby sometimes but less frequently. I still blow up the bathroom in the morning but it doesn't persist all day. I still can't sleep well but I'm grabbing more random spurts of it.,True
5qam5y,1,0,Day 14 will sound much cooler on Sunday morning and I'll probably plan to type up some deeper shit then,True
5qh7o9,1,0,Day 13,True
5qnoyr,1,0,Still having gnarly morning GI that tapers off. Still can't totally relax without some restless feet. Lingering anhedonia that comes in waves.,True
5qul95,1,0,Day 15,True
5r0lya,1,0,"Restless in the evening, or whenever I lay down in general, but I'm sleeping 5-6.5 hours with a melatonin and unisom",True
5r8afs,1,0,16 days in the books... Today I feel... decent? It feels like my body is trying to act normal and my brain is just a few steps behind. Sort of feels like I'm a more functional shell of myself... in a good way.,False
5rf4hs,1,0,"I can say that I have never had a craving in the 17 days up until that point. It hit me like a fuckin sack of bricks... started pouring sweat, plotting and rationalizing all the ways I could get around this security blanket that I've created",True
5rmcy7,1,0,Closing in on 3 weeks,True
5rtnk6,1,0,Lingering symptoms are still morning GI/Restless when I try to relax/anxiety sweats. Other than that it's a mental game at this point.,True
5s0p8o,1,0,"Symptoms at 3 weeks out... broken sleep of 4-6 hours, morning shits (a very zen one this morning at least), anhedonia waves, come and go restless limbs.",True
5sdy7b,1,0,Felt like day 4 of withdrawals out of the blue,True
5ssayz,1,0,"Only things lingering around at 25 days are morning GI, restless sleep, anxiety/anhedonia waves",True
5szjvv,1,0,Today is a bad trigger day for me. This was the day of the month I would get my script refilled and normally start the process of one GREAT week followed by the cycle of withdrawal etc etc.,True
5t6muw,1,0,Day 27,True
5tm4rq,1,0,Four fucking weeks,True
5uej8s,1,0,"My body/brain are feeling anxious, depressed and just out of sync compared to 27-30. Almost feels like days 7-11 again.",True
2r79os,1,0,can't sleep. but I'm happy I've gone this long. I feel so much better than I thought I would. I have an appetite.,True
2rb273,1,0,"gone five days without, and I cant help but think, fuck it, one more time",False
2rfvru,1,0,"I didnt get high, but it did relieve the pain a lot",True
5sjje4,1,0,I haven't been using for almost two months,True
66t8t7,1,0,Day. 3. At work early. Feel OK. Got lots of benzos just in case. And lope of course lol,True
6e1wbk,1,0,I took many meant Xanax..... Even more klonopin. Half a bottle of Jamey and a snorted a fat bag,True
6jilbu,1,0,I'm struggling. But better than expected.,True
6jkz19,1,0,Coming on three days,True
6jprrk,1,0,Achy. Zero sleep. But I feel so much better than just yesterday.,True
6jqqi2,1,0,"I was so fucked up on dope and xanax and kpins that i blacked out the entire way... Im still only a few days clean, but im not turning back",False
6jtam9,0,0,"i just made 150 dollars, which i do every tuesday night...but this time its fucking MINE",True
6k0l82,1,0,Day 4 in tha books!,True
6k5gpv,1,0,This is the longest I've been sober in a year at least,True
6kkxof,1,0,I've made it this far,True
6r2vt5,1,0,relapsed. In back to 3days,True
6r4qyt,1,0,Almost got four days,True
7y61tu,0,0,I feel alive. I'm genuinely happy.,False
y55tq,1,0,"I've been taking opiates for about 2 years now, usually only on the weekends",True
ygg2m,1,0,drinking poppy seed tea,True
zzech,0,0,I've just been curious,True
189jzm,0,0,I've been taking hydrocodone for about 3 years now,True
1dcxyt,1,0,I'm about to enjoy a handful of hydrocodones and a nice line of Opana,True
1ip2y2,1,0,"I take opiates everyday now, normally oxycodone with hydrocodone and I am honestly completely happy with my life",True
28ltk2,1,0,"still dabblin' sometimes, but not putting 80mg of oxy up my nose everyday like I used to",True
2y148m,1,0,i tend to drink about 2-3 pounds a day and i estimate I get about 80-150mg of morphine from that amount,True
379lfx,1,0,with a 140mg/daily morphine habit,True
3d7135,1,0,I use anywhere from 140-180mg of morphine a day now,True
3gezxz,1,0,detoxing,True
3glfpd,1,0,None of us were WDing during this period,True
3nqeie,1,0,When you're nodding hard on the couch,True
40inra,1,0,"I've been using opiates for about 6 or 7 years now, and I've used daily for the last 5 YEARS(not days)",True
49iuq9,1,0,"I don't WD often because I keep like 80 pounds of poppy seeds under my bed. But when I do WD, I WD badly because of my tolerance.",True
49ommq,1,0,"Once I've got my opiate of choice in my system, I either watch Netflix, or play video games!",True
84utu0,0,0,Jesus thanks you for your compliance,True
7k1few,1,0,"Today is the last day of a taper from Norco. I've tried to quit 5 times in the last year or so. Start a program, leave the program. Get through detox, feel great and then 'just for the weekend' myself back into active addiction.",False
7tdpm3,1,0,42 days. 42 god-blessed days,True
7xiifr,0,0,I'm going to take my 60 day chip today,True
8dfzx9,1,0,I know that there is no chance in hell that I can have any opiates without coming unhinged,True
8ektq0,0,0,"I've dedicated myself to being a 'strong, independent woman' who can overcome anything once I put my mind to it. I kicked a 4 year IV meth habit. I went from being a junkie to being a contributing member of society, with a great family and career.",False
8o0sp1,1,0,"But, guys... if I had them, they would be 100% gone. Which makes me feel like shit.",True
930v7p,1,0,"Back up to my usual dose and acting like an addict again. I came clean in my meeting last Friday, but I filled another script. No intention on giving them up.",True
6io4hs,0,0,"I was able to put together a year, which turned into a year and a half (where I am currently), and now I am truly beginning to realize that there is a major difference in my thought process overall.",True
77vqr1,0,0,"I remember when I was using that if I was honest with myself, the answer was always that I wanted to change things and wanted to stop",True
7dnif5,0,0,Myself as well as the large majority of opiate users I have met along my journey through recovery,True
7sy08z,1,0,"if someone who is on subs, methadone, or using, and has been wanting to jump off/get clean",True
8ro6ec,0,0,"I was in recovery, and actually a year or so into it at that point.",True
3l5nw6,0,0,This movie is pretty legit,True
3m8tmw,1,0,Clean for over two years... Why am I still searching this shit,True
3rva6k,1,1,"I've been clean for two years, and my drug of choice is and always will be heroin",True
3rveij,0,0,Just watching some fucking war movies and smoking cigarettes,True
422c1l,1,0,"it's not for a fuckin vicodin or two, but a needle and a bundle of downs",True
43l956,1,0,but have been jonesin hard lately,True
481d1a,0,0,Can one of you computer geeks invent a dope delivery app?,True
49vwv2,1,0,Some dilaudid and or fentanyl sounds pretty damn tasty though,True
4bquxv,1,0,If I were to get a single dilaudid 8 and boot it first thing in the am,True
7pej2i,ERROR,0,ERROR,ERROR
7xpgw5,0,0,I am about 90-100 days clean. It’s the most clean time I’ve had and I seriously couldn’t be happier.,True
8s2nwu,0,0,I’m clean under a year,True
a041t0,0,0,I finally reached a year sober literally today,True
aahjui,0,0,I’m over 1 year into sobriety,True
5vveqc,0,0,E(CP)ast Atlanta Santa,True
71ng3x,0,0,No excuses,True
72vmr4,1,0,just as easy as getting bag of weed,True
73yc0j,1,0,4.6g of some fire,True
74t8q6,0,0,Fckin right m8,True
7brnf4,0,0,West Coast buds and East Coast Powder,True
7t9p86,0,0,None,True
7tklhm,0,0,Shout out to the ,True
7uke35,1,0,"Roxies, liquid Ketarol dried out, and xans",True
819ivi,1,0,Fent free,True
81qb6u,1,0,use alcohol swabs to clean your injection site before shooting,True
851jqd,1,0,I just woke up with needle in hand hanging off of my bed 2 hours after Iving about 1/6 of size I shoot every morning and night,True
88dktr,1,0,I was broke and needed a fix,True
8a44dc,1,0,40 10mg Norco’s from my script,True
8a8cwd,1,0,I have a lot of 10/325 norcos,True
8cdcoj,0,0,There is nothing like mainlining a fat shot of heroin at 1:46AM after waking up to a bad dream and not being able to fall back asleep,True
8e12qh,1,0,Big fan of the tan,True
8ju7q8,1,0,slap my monkey,True
8lkudz,1,0,"Refill day, 900mg Hydroco-gone in a week",True
8o62i0,1,0,Jokes about sourcing/ giving away pills,True
8pfne2,1,0,"Cold cop success-main guy awol all day, $20 tested neg. for fent",True
8pm7yp,1,0,dope,True
8wmy45,1,0,for a weekend of nods,True
58dd82,1,0,curiosity is back. My friend has one last bag and he's willing to split half with me for one last night before he quits (so he says).,True
5qxv7q,1,0,I am craving for another night of heroin,True
5r9qbq,1,0,did my second bag last night,True
5t56zt,1,0,"I haven't done that in a long time, I haven't even seen her cry in a long time but I saw it last night. I am not myself anymore. I can't think like myself anymore. I don't feel good like I used to anymore. I don't feel high like I was before.",True
5zg351,1,0,Looking to shoot up for the first time this week,True
67whz4,0,0,be safe guys,True
6rly0p,1,0,So I sniffed my first bag after 3 months of being clean,True
6u3x5c,1,0,I'm high on heroin right now,True
6u5lb7,1,0,snifee 5 bags n I an noddin out,True
6u9715,0,0,I'm done with this bullshit lifestyle,True
6ualhi,1,0,heroin,True
682d3b,0,0,shooting dope,True
6eijd4,0,0,I run a drug blog(mainly opiates),True
6fg1j6,1,0,I'm not going to try to use because the probability that they'll do it soon is so likely,True
6trb3k,1,0,"I really wish I was normal, and could use here and there without totally destroying everything I've worked for.",True
7bmrck,1,0,"if I were to ever do it again, I’d like to know what other people do. If I could even do a .5 a day I’d be happy",True
7ru9l7,0,0,7/18/16 was the day I actually got sober. The 17th was the last time I had a shot of heroin. It’s been a loooong year and a half but I’m damn proud of myself.,True
8lklgw,0,0,Almost sober 2 years,True
962cbt,1,0,at this point i have no tolerance anymore. Its been so long.,True
6ecox4,1,0,I am on day 15 without Heroin. I have used Heroin for a total of 14 yrs. It is very tempting to go back.,False
6ejlt5,1,0,Day 16 without heroin,True
6errz8,1,0,Today is day 17 without heroin. Its been a struggle im still struggling with the mental sides of things and the depression,True
6exs63,1,0,I havenhave been on day 18 heroin free but i fucked up currently messed up,False
6eyew8,1,0,Be off Heroin for awhile think im doing great and fine the ill likely be back on my fucking face and using,True
6fcck9,1,0,So i fucked up the other day and went back to heroin. Stupidly i thourght oh itll help with my depression. But as we allno it didnt. I will be starting on day 1 tomorrow,True
6g781q,1,0,"Im sick of feeling like crap, throwing up, being depressed",True
