post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,0,0,None,True
3igqrf,1,0,my most recent relapse,True
3igsr7,1,0,my most recent relapse,True
3nt5ew,1,0,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
3nt86s,1,0,"I spend 3-6 months in any given year clean (or mostly). Eventually the crave comes back, then I'm chipping and before you know it habited again.",True
518v54,1,0,55 days off dope but still shooting subs,True
5bd6hr,0,0,None,True
5euhxf,1,0,Sacrificed it to a fairly lame relapse,True
5fs1yf,1,1,"I am a chronic relapsing H addict. I spend maybe half the year in my addiction and half of it on subbies, or abstinent or whatever.",True
5phzns,0,0,None,True
5uo9xj,0,0,None,True
5yylq2,1,0,fear a benzo rattle could push me,True
6h9s3x,1,0,Just switched from IV,True
6qiqc7,1,0,I always let the drugs back in,True
7tks4h,0,0,None,True
9k4o50,0,0,None,True
ba5tou,1,0,Had a lapse after a 1.5 years clean,True
700v7d,1,0,"I relapsed by starting to use Kratom and then ventured into RC benzos as a way to get off Kratom, but of course that spiraled into abusing both and graduating to harder opiates as well as filling my adderall script",True
7063a7,1,0,"now I am trying to stabilize on Kratom... makes withdrawal 10x's worse... I can tell Kratom is preventing the rest from hitting me, but I can't help but wonder how much of this crippling anxiety is withdrawal related",False
70ke56,1,0,I would relapse whenever something came up,True
71trdu,1,0,I thought the benzo withdrawals kicked in that first week but now that I look back I think it was primarily opiate withdrawals,True
728w57,1,0,I relapsed back into addiction but using Kratom instead,True
3cqp6y,0,0,None,True
3cqya9,0,0,None,True
3e1b5s,0,0,None,True
6zkt8s,0,0,None,True
7004qt,0,0,None,True
73ps8l,0,0,None,True
4uxokl,0,0,None,True
4v188e,0,0,None,True
516elz,0,0,None,True
51asc3,0,0,None,True
534g0g,0,0,None,True
55a8ps,0,0,None,True
57jr8x,0,0,None,True
5ri9pf,0,0,None,True
68a9dh,0,0,None,True
6rltyf,0,0,None,True
71cl8c,0,0,None,True
71clao,0,0,None,True
77f9yb,0,0,None,True
607niv,1,0,I am in the thick of wd,True
61qx2n,1,0,can't handle the wrestless legs at night,True
62sbkv,1,0,"I still haven't had the withdrawals I was expecting, no shitting water, no puking, no seizures (from benzo wd), no sweats. The wrestless legs still won't quit.",True
63rnxs,1,0,"Now that I am clean, I can barely get out of bed bc back and knees are so bad",True
64xkmj,1,0,I am scared bc I know I will want to use,True
65uequ,1,0,"Still having restless legs, but my regular Dr says they're not related, which means that the only withdrawal symptom I had was insomnia",True
6a5yn8,0,0,None,True
6ebujs,1,0,I have 70 something days clean,True
6inwke,1,0,90 days clean,True
9x54pd,0,0,None,True
a3ri4d,1,0,I have been taking kratom since Tuesday to help withdrawal,True
a43ojt,0,0,None,True
55ajwt,0,0,None,True
57ejx7,0,0,None,True
6icb2z,0,0,None,True
6icc1u,0,0,None,True
6knqqt,0,0,None,True
6xydw9,0,0,None,True
725rhw,0,0,None,True
725rta,0,0,None,True
7lu1ed,0,0,None,True
7lu2i9,0,0,None,True
5oht74,1,0,It's day 3 off of a 8 day relapse,True
5ope6e,1,0,"Day 3 was a mixed bag. Few emotional spells, morning GI subsided, worked 9 hours, small gym session, little marijuana, fair amount of food, 5.5 hours of sleep. Dropping the Lope to 6mg today, plan on working out after work, dropping the Benzo to .25mg today and .75mg tonight before bed.",False
5ow3t9,1,0,Dropping the Lope to 4mg,True
5p45ip,1,0,"Physically, most of everything has passed. I'm just in one of those dull moments where I'm struggling to find some joy and feelings outside of sadness.",True
5paxbr,1,0,Waking up to day 7. Sleep was total shit and so is this morning. Right now feels so discouraging.,False
5pieag,1,0,"One week down, working on day 8",True
5po74b,1,0,Still have the morning GI lingering around but the malaise is still the biggest pain in the ass,True
5q2yd7,0,0,None,True
5q5z00,1,0,I still cry like a baby sometimes but less frequently. I still blow up the bathroom in the morning but it doesn't persist all day. I still can't sleep well but I'm grabbing more random spurts of it. I still feel emotionally flatlined but I've caught myself laughing a few times this week and joking with others.,True
5qam5y,1,0,Day 14,True
5qh7o9,1,0,Day 13,True
5qnoyr,1,0,Still having gnarly morning GI that tapers off. Still can't totally relax without some restless feet. Lingering anhedonia that comes in waves.,True
