post_id,predicted_tense,true_tense,verbatim_example,exact_match
3dy8wl,0,0,None,True
3igqrf,0,0,None,True
3igsr7,0,0,None,True
3nt5ew,0,1,None,True
3nt86s,0,1,None,True
518v54,0,0,None,True
5bd6hr,0,0,None,True
5euhxf,0,0,None,True
5fs1yf,0,0,None,True
5phzns,0,0,None,True
5uo9xj,0,0,None,True
5yylq2,1,0,I'm just happy to not be taking heroin anymore,True
6h9s3x,0,0,None,True
6qiqc7,0,0,None,True
7tks4h,0,0,None,True
9k4o50,0,0,None,True
ba5tou,0,0,None,True
700v7d,1,0,I quit everything about a year and a half ago with the help of a detox place.,True
7063a7,0,0,None,True
70ke56,0,0,None,True
71trdu,1,0,The last time I took DHC or Xanax was the Sunday of Labor Day.,True
728w57,1,0,I was on a large benzo/opiate habit and got off both 3 weeks to the day.,True
3cqp6y,0,0,None,True
3cqya9,0,0,None,True
3e1b5s,0,0,None,True
6zkt8s,0,0,None,True
7004qt,1,0,I've been 4 months sober,True
73ps8l,0,0,None,True
4uxokl,0,0,None,True
4v188e,0,0,None,True
516elz,0,0,None,True
51asc3,0,0,None,True
534g0g,0,0,None,True
55a8ps,0,0,None,True
57jr8x,0,0,None,True
5ri9pf,0,0,None,True
68a9dh,1,0,haven't had any opis in months,True
6rltyf,0,0,None,True
71cl8c,0,0,None,True
71clao,0,0,None,True
77f9yb,0,0,None,True
607niv,0,0,None,True
61qx2n,0,0,None,True
62sbkv,1,0,"A week ago, I was terrified to give up the pills. ... I feel alive for the first time in 10 yrs.",False
63rnxs,1,0,Now that I am clean,True
64xkmj,0,0,None,True
65uequ,1,0,"So, ya obvs 26 days clean",True
6a5yn8,0,0,None,True
6ebujs,0,0,None,True
6inwke,0,0,None,True
9x54pd,0,0,None,True
a3ri4d,0,0,None,True
a43ojt,0,0,None,True
55ajwt,0,0,None,True
57ejx7,0,0,None,True
6icb2z,1,0,Six months ago I couldn't even go 60 minutes without having to use something,True
6icc1u,1,0,Six months and some change ago I couldn't even go 60 minutes without having to use something to change the way I feel,True
6knqqt,0,0,None,True
6xydw9,0,0,None,True
725rhw,1,0,"9 months ago I was in a hospital bed, could barely walk and breathe",True
725rta,0,0,None,True
7lu1ed,1,0,a year ago I was in a hospital bed...What a difference a year can make,False
7lu2i9,1,0,I’m officially one year clean from opiates,True
5oht74,0,0,None,True
5ope6e,1,0,"Day 3 was a mixed bag. Few emotional spells, morning GI subsided, worked 9 hours, small gym session, little marijuana, fair amount of food, 5.5 hours of sleep.",True
5ow3t9,0,0,None,True
5p45ip,0,0,None,True
5paxbr,0,0,None,True
5pieag,0,0,None,True
5po74b,1,0,"Eight days down, moving into day 9",True
5q2yd7,0,0,None,True
5q5z00,0,0,None,True
5qam5y,1,0,"It's been a long work week, still have a full day today and tomorrow. ... I have taken care of a lot of bullshit I've been putting off for months over the last 12 days",False
5qh7o9,0,0,None,True
5qnoyr,1,0,Coming up on two weeks later today. I feel like I can remember every second that's passed by.,True
5qul95,0,0,None,True
5r0lya,1,0,This past weekend was better than the last,True
5r8afs,0,0,None,True
5rf4hs,1,0,I have never had a craving in the 17 days up until that point,True
5rmcy7,1,0,"Feeling better every day, looking forward to maybe sleeping in this weekend",True
5rtnk6,1,0,Yesterday was okay minus a crazy afternoon episode of the sweats. I fuckin hate that feeling.,True
5s0p8o,1,0,Symptoms at 3 weeks out,True
5sdy7b,0,0,None,True
5ssayz,1,0,that's probably undershooting it. Tough to think about how expensive that misery really was...,True
5szjvv,1,0,This was the day of the month I would get my script refilled and normally start the process of one GREAT week followed by the cycle of withdrawal etc etc,True
5t6muw,1,0,Day 27,True
5tm4rq,1,0,Four fucking weeks,True
5uej8s,0,0,None,True
2r79os,ERROR,0,ERROR,ERROR
2rb273,0,0,None,True
2rfvru,0,0,None,True
5sjje4,1,0,I haven't been using for almost two months,True
66t8t7,0,0,None,True
6e1wbk,0,0,None,True
6jilbu,0,0,None,True
6jkz19,0,0,None,True
6jprrk,0,0,None,True
6jqqi2,0,0,None,True
6jtam9,0,0,None,True
6k0l82,0,0,None,True
6k5gpv,1,0,This is the longest I've been sober in a year at least,True
6kkxof,1,0,I've made it this far,True
6r2vt5,0,0,None,True
6r4qyt,0,0,None,True
7y61tu,1,0,It's been a month and a half. I feel alive. ... It's amazing how much my life has changed for the better.,False
y55tq,0,0,None,True
ygg2m,0,0,None,True
zzech,0,0,None,True
189jzm,0,0,None,True
1dcxyt,0,0,None,True
1ip2y2,0,0,None,True
28ltk2,0,0,None,True
2y148m,0,0,None,True
379lfx,0,0,None,True
3d7135,0,0,None,True
3gezxz,0,0,None,True
3glfpd,0,0,None,True
3nqeie,0,0,None,True
40inra,0,0,None,True
49iuq9,0,0,None,True
49ommq,0,0,None,True
84utu0,0,0,None,True
7k1few,0,1,None,True
7tdpm3,1,0,42 days. 42 god-blessed days,True
7xiifr,1,0,it took me a year of trying but I'm going to take my 60 day chip today,True
8dfzx9,0,0,None,True
8ektq0,1,0,"I kicked a 4 year IV meth habit. I went from being a junkie to being a contributing member of society, with a great family and career.",True
8o0sp1,1,0,So since I've been sober,True
930v7p,0,0,None,True
6io4hs,1,0,"I was able to put together a year, which turned into a year and a half (where I am currently), and now I am truly beginning to realize that there is a major difference in my thought process overall.",True
77vqr1,0,0,None,True
7dnif5,1,0,my journey through recovery,True
7sy08z,0,0,None,True
8ro6ec,1,0,"I was in recovery, and actually a year or so into it at that point",True
3l5nw6,0,0,None,True
3m8tmw,1,0,Clean for over two years,True
3rva6k,0,0,None,True
3rveij,0,0,None,True
422c1l,1,0,Been clean two years,True
43l956,1,0,I've been clean for two years,True
481d1a,0,0,None,True
49vwv2,1,0,two years clean,True
4bquxv,1,0,I haven't touched an opiate in over two years,True
7pej2i,recovery,0,None,True
7xpgw5,0,0,None,True
8s2nwu,0,0,None,True
a041t0,1,0,I finally reached a year sober literally today,True
aahjui,1,0,I’m over 1 year into sobriety,True
5vveqc,0,0,None,True
71ng3x,0,0,None,True
72vmr4,0,0,None,True
73yc0j,0,0,None,True
74t8q6,0,0,None,True
7brnf4,0,0,None,True
7t9p86,0,0,None,True
7tklhm,0,0,None,True
7uke35,0,0,None,True
819ivi,0,0,None,True
81qb6u,0,0,None,True
851jqd,0,0,None,True
88dktr,0,0,None,True
8a44dc,0,0,None,True
8a8cwd,0,0,None,True
8cdcoj,0,0,None,True
8e12qh,0,0,None,True
8ju7q8,0,0,None,True
8lkudz,0,0,None,True
8o62i0,0,0,None,True
8pfne2,0,0,None,True
8pm7yp,0,0,None,True
8wmy45,0,0,None,True
58dd82,0,0,None,True
5qxv7q,0,0,None,True
5r9qbq,0,0,None,True
5t56zt,0,0,None,True
5zg351,0,0,None,True
67whz4,0,0,None,True
6rly0p,1,0,after 3 months of being clean,True
6u3x5c,0,0,None,True
6u5lb7,0,0,None,True
6u9715,1,0,I ended up throwing up over 5 times in one night,True
6ualhi,0,0,None,True
682d3b,0,0,None,True
6eijd4,0,0,None,True
6fg1j6,0,0,None,True
6trb3k,1,0,I've been sober for 13 months this coming Friday,True
7bmrck,0,0,None,True
7ru9l7,1,0,7/18/16 was the day I actually got sober,True
8lklgw,0,0,None,True
962cbt,1,0,Its been so long,True
6ecox4,0,0,None,True
6ejlt5,1,0,Day 16 without heroin,True
6errz8,1,0,Today is day 17 without heroin,True
6exs63,0,0,None,True
6eyew8,0,0,None,True
6fcck9,0,0,None,True
6g781q,0,0,None,True
6golmf,1,0,Im 1 week heroin free,True
6gou8x,0,0,None,True
6iaj3m,1,0,Today i am 15 days off heroin,True
6ihpnl,0,0,None,True
6jbkfz,1,0,Been struggling recentally,True
6jfyax,0,0,None,True
6m41ju,1,0,Today is 34 days without heroin and alcohol,True
6n19x9,1,0,Im day 39 heroin and alcohol free,True
6pbh75,0,0,None,True
6tx04u,0,0,None,True
6wx3ln,0,0,None,True
6zbm1j,0,0,None,True
71ehhl,0,0,None,True
77yau9,0,0,None,True
7exdor,0,0,None,True
7gjwh1,1,0,I am day 10 off heroin,True
7hl33q,0,0,None,True
822896,0,0,None,True
8vel4c,0,0,None,True
9wveea,0,0,None,True
1ym4ee,0,0,None,True
1yops0,0,0,None,True
212fta,0,0,None,True
23nup6,0,0,None,True
2fl0x9,0,0,None,True
2g6agl,0,0,None,True
2h5exs,0,0,None,True
2hlh1z,0,0,None,True
2irzez,0,0,None,True
2jea88,0,0,None,True
2jv8il,0,0,None,True
2jytmb,0,0,None,True
2ked9w,0,0,None,True
2lnrmz,0,0,None,True
1pbnkc,1,0,I have four months clean today,True
1pha2r,0,0,None,True
1pnpvq,0,0,None,True
1tzncq,1,0,Six months clean this week,True
7gq0yc,1,0,now that I’m clean. Today I’ve got 90 days. 90 days ago I was sitting in the IOP program at the Betty Ford Center,True
5lob90,0,0,None,True
5tqmox,0,0,None,True
600t7j,0,0,None,True
60s37k,0,0,None,True
61o3re,0,0,None,True
64ndta,0,0,None,True
64q2i1,0,0,None,True
67d3f9,0,0,None,True
67guh7,0,0,None,True
6bdi2u,0,0,None,True
6gicm6,0,0,None,True
4whcxi,0,0,None,True
4wmevz,0,0,None,True
4yj9xi,0,0,None,True
4yyk78,0,0,None,True
4z0ik4,0,0,None,True
507vuc,0,0,None,True
50t068,0,0,None,True
511dtc,0,0,None,True
51afdr,0,0,None,True
51av7r,0,0,None,True
51i5g8,0,0,None,True
55fkee,0,0,None,True
709dzb,0,0,None,True
70i6vv,0,0,None,True
70p8a0,0,0,None,True
717jp7,0,0,None,True
73dkzj,0,0,None,True
75me0h,0,0,None,True
75v3o8,0,0,None,True
76s9o0,0,0,None,True
7x8stk,0,0,None,True
84a91v,0,0,None,True
3gk4rv,0,0,None,True
56784z,1,0,So today I have 252 days clean (8 months 8 days),True
586zw6,0,0,None,True
4u51gl,0,0,None,True
4ubmn6,0,0,None,True
4vo6wf,0,0,None,True
561s45,0,0,None,True
56u4hy,0,0,None,True
5kmnc9,0,0,None,True
5lclr7,0,0,None,True
5liang,0,0,None,True
5s9xqw,0,0,None,True
65cv05,0,0,None,True
66uruk,0,0,None,True
67qd20,0,0,None,True
684n6j,0,0,None,True
68nqa7,0,0,None,True
69xqnx,0,0,None,True
6b9sv9,0,0,None,True
6b9xty,0,0,None,True
6ch1pr,0,0,None,True
6f1fyi,0,0,None,True
6iadgq,0,0,None,True
6iafug,0,0,None,True
71bh1s,0,0,None,True
7a369f,1,0,I’ve been clean off of all drugs for 39 days,True
7a37vk,1,0,I’ve been clean off of all drugs for 39 days,True
7bh2h1,1,0,45 days clean today,True
7d4os4,0,0,None,True
7rtg8w,0,0,None,True
7ry0e9,0,0,None,True
7t7r8p,0,0,None,True
8esvcs,0,0,None,True
6pti31,1,0,"It's been nearly two years since I stopped injecting oxy, oxymorphone, hydromorphone, morphine, and anything else really",True
6rq4jr,0,0,None,True
6s4f3m,0,0,None,True
6s4g3u,0,0,None,True
6s9hcr,0,0,None,True
6sfhn8,0,0,None,True
6t76hx,0,0,None,True
6t7aid,0,0,None,True
6t7dy4,0,0,None,True
6te5tz,0,0,None,True
6te81p,0,0,None,True
6tkb44,0,0,None,True
7aan22,0,0,None,True
7d3drl,1,0,now that I'm sober,True
7h5zeb,0,0,None,True
81trra,0,0,None,True
82kro2,0,0,None,True
864n60,0,0,None,True
866m4p,0,0,None,True
86gisl,0,0,None,True
86wml6,0,0,None,True
8adleu,0,0,None,True
8hk9f1,0,0,None,True
8tn4nf,0,0,None,True
8u4r94,0,0,None,True
96dht9,0,0,None,True
973ctk,0,0,None,True
98i3nc,0,0,None,True
9a8qun,0,0,None,True
813uhb,0,0,None,True
81bdva,0,0,None,True
81nzm1,1,0,"I've been using PST, about 2-2.5 lbs of Seeds a day, depending on quality, for a little over a year. Every day, no tolerance breaks, just a few accidental withdrawals when FEDEX fucked up lol.",False
82lbna,1,0,Tomorrow marks 1 week since my last 2lb dose of PST,True
83eb0b,1,0,11 days since I quit,True
84cko6,0,0,None,True
85p8rf,1,0,So I've got about 3 weeks clean off a 2 year PST habit,True
8bd9d1,1,0,5 weeks off a pretty heavy PST habit,True
8w46n9,1,0,I was being a baby and thought my body should be back to normal after just 2 mos. clean from 2 years using.,True
958rvq,1,0,I've got about 6 months clean from an on/off whenever I could get it(percs>oxys>heroin>oxys>poppy seeds>heroin>oxy you get it) habit over last 12 years,True
au0blm,1,0,1 year removed from an addiction,False
2ygt26,0,0,None,True
2yr9h0,0,0,None,True
2ytend,0,0,None,True
2yv6rl,1,0,One. Week. CLEAN!,True
2z48lr,1,0,I used to deal with by taking a handful of pills,True
2zay7h,1,0,When I kicked opiates,True
2zh8zg,1,0,"I'm at work and don't hate being here. My body is like an old, tired sock... I keep wanting to stretch out, shake and use my muscles a bit. I'm so weak, it's been years.",False
2znfx6,1,0,I have been clean for two weeks now,True
2zyvaz,1,0,Seventeen days sober,True
30g3oc,1,0,Twenty days clean,True
30nqve,1,0,"Three weeks ago I was in hell. My body went through an absolute horror show of pain. Fever, shakes, nausea, muscle cramps... insomnia, jesus.",True
319i06,1,0,"I am clean, I am alive, I am beginning to feel comfortable in my skin",True
31nhy0,1,0,my colon has finally forgiven me,True
31u79l,0,0,None,True
322nga,0,0,None,True
32y8tc,1,0,"Six weeks clean, feels like kind of a big deal",True
34h01x,0,0,None,True
36d0kl,0,0,None,True
38qu2a,1,0,"I went to the pharmacy today and they had just gotten a shipment of painkillers... interesting test, talking to someone about my script while a large quantity of opiates was six inches from me. I actually asked them to move the bottles.",True
300yu5,0,0,None,True
3qjtg2,0,0,None,True
3qqd04,0,0,None,True
3rf7l6,0,0,None,True
59w2as,1,0,I have two years sober today,True
5hqafy,1,0,I got sober in 2014,True
79cnsc,1,0,3 years ago today would be the first day in rehab that I didn't take a suboxone and was fully off any type of narcotic,True
9sdokj,1,0,Yesterday was my 4 years sober,True
7aua4u,1,0,I am 8 months sober from a heavy heroin habit,True
9p4b20,0,0,None,True
9rnwdl,0,0,None,True
9uia52,0,0,None,True
9ulwjb,0,0,None,True
33006o,0,0,None,True
37aze9,0,0,None,True
38m7en,0,0,None,True
39zap1,0,0,None,True
3e3bbi,0,0,None,True
3up5g3,1,0,I haven't touched an opiate in almost 5 months,True
4l2ag5,0,0,None,True
4tpjx0,0,0,None,True
51cous,0,0,None,True
5d90vf,1,0,I haven't used in around 3 weeks,True
6ozbun,0,0,None,True
6rafnn,0,0,None,True
7g1vqd,0,0,None,True
7g5du4,0,0,None,True
7gyelj,0,0,None,True
7jw8g6,0,0,None,True
7rgp0u,0,0,None,True
7t30ft,1,0,od’d on methadone last summer,True
7tzxdn,0,0,None,True
8y0e1z,0,0,None,True
949sge,0,0,None,True
96lipy,0,0,None,True
9xg6r4,1,0,was using,True
9xi2xi,1,0,when I was using,True
aavq25,0,0,None,True
afpnp5,0,0,None,True
afx8yx,0,0,None,True
al79i4,0,0,None,True
alh546,0,0,None,True
6s0j7i,0,0,None,True
6s4xxo,0,0,None,True
6s7xs8,0,0,None,True
6sar1g,1,0,after the initial withdrawls,True
6sd792,0,0,None,True
6sljr4,1,0,these past couple days have been great,True
6svd9w,1,0,"I remember myself before using and I was fun, outgoing, worked my ass off and people enjoyed being around me. Now I have messed with drugs my entire adult life, more recreationally. That was until a few years ago and one injury led me down a path that didn't take any time at all to get to the end of.",True
6t3kmz,0,0,None,True
6tftx6,0,0,None,True
6txtfr,0,0,None,True
6ulw5h,1,0,being sober,True
72a4kn,1,0,Stay clean. Shit tends to work out in the end.,True
56618n,0,0,None,True
6u5ay9,1,0,I genuinely feel like I'm almost back to who I was before the opiates took over my life,True
8fyak2,1,0,I was now 7 days clean from the subs. I can honestly say compared to cold turkey this was a BREEZE.,False
95rt7a,1,0,"Now I am one of those people, and you the reader with a bit of grit and hard work will be too. I could never even imagine this far and would always envy people who had 100+ days clean.",False
9lvjm6,1,0,it's been about 4 months off opiates,True
1lnlpj,1,0,It's been 4 days since I did any opiates and hope I can continue to stay sober,True
1tf3eu,0,0,None,True
21twgm,0,0,None,True
2270sz,1,0,"I figured it was time to stop. Lope definitely helped my withdrawals the first three days and then when I woke up on the 4th day, I felt completely fine.",True
2e3dti,0,0,None,True
2o2x9k,0,0,None,True
2p3z7g,1,0,now im 24 days clean,True
2qazkg,1,0,"been clean now from heroin, well from everything including cigarettes for 40 days",True
2qyi32,1,0,I am sober now and decided to take my dog to the lake... I would not have been outside and saw that duck if the cosmos did not align in such a way for me to stay sober now for 6 weeks and 3 days,False
32g10n,1,0,Sober roughly four months now,True
3igjpx,1,0,10 months sober from a decade long stint in heroin,True
3qpa18,1,0,350 days sober,True
3t0tvc,1,0,Now sober,True
6goqfz,1,0,"I got out and started working out everyday. I got really into meditation and yoga. I just wanted to be someone different, a better version of myself. I lost 40 lbs from running everyday and lifting. Fit, happy with myself.",True
7ja12y,0,0,None,True
7k5hvx,0,0,None,True
7km083,0,0,None,True
7lowxe,0,0,None,True
7p6600,0,0,None,True
7svg3u,0,0,None,True
7tj2l7,0,0,None,True
7triel,0,0,None,True
7u95fx,0,0,None,True
8glscb,0,0,None,True
8gtkgq,0,0,None,True
96xltz,0,0,None,True
97ozql,0,0,None,True
9dyqcs,0,0,None,True
9pvhtb,0,0,None,True
9v6zja,0,0,None,True
c94690,0,0,None,True
c9vpjg,1,0,"I made a post about taking a smal shot in the middle of my wd, and I am soo glad I did cuz yea I had to start the wd all over",True
cggvwi,0,0,None,True
2po33a,0,0,None,True
2tln7x,0,0,None,True
37oykz,0,0,None,True
3d87cf,0,0,None,True
3lh2yv,0,0,None,True
3li7sr,0,0,None,True
3lnjiv,0,0,None,True
3o1ofl,0,0,None,True
3omxe0,0,0,None,True
31jxvi,0,0,None,True
39mu1q,0,0,None,True
3d63dz,0,0,None,True
3djk9q,0,0,None,True
3erc0l,0,0,None,True
3irkvv,0,0,None,True
3k3ymy,0,0,None,True
3xgj38,0,0,None,True
459p1q,0,0,None,True
6nvhdx,0,0,None,True
6w6ajl,0,1,None,True
6w6ct6,0,1,None,True
75qae3,0,0,None,True
75r713,0,0,None,True
75z5f4,0,0,None,True
76n8qh,1,0,I've wasted so much time in my addiction,True
76susr,1,0,I'm close to the end of day 12 of being sober,True
7bwab7,0,0,None,True
7d78f1,0,0,None,True
7imefg,0,0,None,True
7kf1zl,0,0,None,True
7l47az,1,0,Never want to go through Heroin withdraws ever again,True
7lo8k1,0,0,None,True
7lo9eb,0,0,None,True
7mvmnk,0,0,None,True
7npcnm,0,0,None,True
7szari,1,0,I managed to get clean for a few weeks,True
8461tt,0,0,None,True
86dnqg,1,0,I’ve been waking up with a lot of anxiety which sucks but it does seem to fade once I start my day and get moving.,True
88suop,0,0,None,True
8ch13k,0,0,None,True
8e96en,0,0,None,True
8rw114,0,0,None,True
8rw3kr,0,0,None,True
9a289p,1,0,I don't even do drugs anymore,False
9oq7uc,0,0,None,True
4su46z,0,0,None,True
4weq7w,0,0,None,True
4wz1zk,0,0,None,True
4x0qdw,0,0,None,True
4xhg43,0,0,None,True
3vgc3p,0,0,None,True
5b0wy1,0,0,None,True
5hievf,0,0,None,True
5k1o0g,0,0,None,True
5k1oee,0,0,None,True
5ogbx0,0,0,None,True
5tkele,0,0,None,True
6pevu3,0,0,None,True
6so434,0,0,None,True
6yx7cl,0,0,None,True
7g4wqe,0,0,None,True
7utwml,0,0,None,True
7wgn6u,0,0,None,True
7zoddk,0,0,None,True
8ty54o,0,0,None,True
9eheaz,0,0,None,True
64ib16,0,0,None,True
65amiz,1,0,Now that I'm sober,True
6bungt,0,0,None,True
6bv001,0,0,None,True
6d0m6u,0,0,None,True
6eni2i,0,0,None,True
6f6hm3,0,0,None,True
6gquvp,0,0,None,True
6jsh71,0,0,None,True
6s32sv,0,0,None,True
6vx1z8,0,0,None,True
75usyl,0,0,None,True
9r7jvb,0,0,None,True
9rgnuu,0,0,None,True
akkd6f,0,0,None,True
21qjm8,ERROR,0,ERROR,ERROR
2chamm,0,0,None,True
2dgb15,0,0,None,True
2dqm1m,0,0,None,True
2dtp5p,0,0,None,True
2ekc5q,1,0,Today is day 13 for me! This is the longest I've been sober since summer 2011,True
2eu61b,0,0,None,True
2f6l3u,0,0,None,True
2fqh63,0,0,None,True
2fyi7y,0,0,None,True
2g8wqx,0,0,None,True
2h236d,1,0,"But, I am clean, and life is good!",True
2hcdfs,0,0,None,True
2i7zgb,0,0,None,True
2ivdyt,0,0,None,True
2lr7de,0,0,None,True
2n5vj8,0,0,None,True
2nkbfq,1,0,"It's day 110 for me since I last used opiates, marijuana, alcohol, coca in, etc. I've gotten out of little 90 day funk finally!",True
3gcc7r,1,0,I was at my bottom and suffering relapse after relapse and again once I finally asked for help and went to rehab,True
2hoo9h,0,0,None,True
2icg4d,0,0,None,True
2j8zso,0,0,None,True
2jlf7o,0,0,None,True
